followed_uid,follower_uid,description,name,is_V,v_description,followers_count
2746348614,2198935377,,别梦依稀笑逝川,1,,47486
2746348614,5504582732,,姑凉木子李,0,,50476
2746348614,7375109941,,我的无限热爱牧之云鹤,0,,188
2746348614,7459766994,,民族复兴网微博,0,,11196
2746348614,6900862304,,-皇城根四爷-,0,,715
2746348614,1912681924,,贝吱圆-,0,,2921
2746348614,3055664430,,禾几日月,1,,153242
2746348614,5510544196,,领袖之子,1,,665740
2746348614,1841818105,,巅峰倦客,1,,1532456
2746348614,3017291231,,宝狮龙厨电,1,,141281
2746348614,6715112842,,机宝bot,1,,21815
2746348614,2624755655,,后沙月光本尊,1,,3016919
2746348614,7280531154,,txj_zqbx,0,,65
2746348614,1194868525,,张颐武,1,,9234449
2746348614,7325881757,,红色江山,0,,42950
2746348614,1772361074,,郭德征,1,,18124
2746348614,7397239588,,VIP良心大师04,0,,32274
2746348614,6987125748,,喀喇昆仑卫士,1,,322813
2746348614,6983016129,,一九七八开天辟地,0,,7845
